request_id,teams,total_rows,total_bytes,chunks,latency_ms,notes
test-green-001,green,200,528,2,21,Single team - Green only
test-pink-001,pink,200,528,2,17,Single team - Pink only
test-both-001,both,400,1056,4,14,Both teams - parallel processing (fastest!)
